cluster,num_questions,top_keywords,category_name
0,114,"paragraph, word, mean, means, synonym, suggests, heading, root",
1,63,"based, article, reader, according, helps, opinion, understand, infer",
2,49,"likely, reason, future, wants, author, true, article, feels",
3,65,"sentence, meaning, opinion, fact, example, flier, word, contains",
4,101,"author, information, include, includes, paragraph, selection, paragraphs, purpose",
5,52,"story, theme, conflict, reader, shows, understand, summary, main",
6,41,"idea, main, main idea, paragraph, supports, conflict, article, according",
7,56,"poem, speaker, lines, question, answered, reveal, summary, suggests",
