cluster,num_questions,top_keywords,category_name
0,130,"graph, represents, function, inequality, circle graph, relation, solutions, represent",
1,68,"expression, equivalent, equal, denominator, equals, polynomial, operations, model",
2,43,"solution, equations, inequality, inequalities, number sentence, graphed, denominator, quadratic",
3,53,"true, number sentence, days, pattern, triangles, day, ratio, temperatures",
4,221,"figure, line, represented, model, triangle, points, point, number line",
5,169,"total, table, data, cost, days, greatest, day, length",
6,78,"equation, represents, relationship, data, model, property, horizontal, table",
